type,step,key,value
parameter,0,dataset,<user defined>
parameter,0,training,<user defined>
parameter,0,testing,<user defined>
parameter,0,validation,<user defined>
parameter,0,model,TransE
parameter,0,model_kwargs.embedding_dim,100
parameter,0,model_kwargs.scoring_fct_norm,1
parameter,0,model_kwargs.random_seed,42
parameter,0,model_kwargs.loss,"MarginRankingLoss(
  (margin_activation): ReLU()
)"
parameter,0,model_kwargs.power_norm,False
parameter,0,model_kwargs.entity_initializer,<function xavier_uniform_ at 0x77ff688991b0>
parameter,0,model_kwargs.entity_constrainer,<function normalize at 0x77ff6f5fcca0>
parameter,0,model_kwargs.relation_initializer,<pykeen.utils.compose object at 0x77ff688833d0>
parameter,0,model_kwargs.relation_constrainer,
parameter,0,model_kwargs.regularizer,
parameter,0,model_kwargs.regularizer_kwargs,
parameter,0,loss_kwargs.margin,2.0
parameter,0,regularizer_kwargs,
parameter,0,optimizer,Adam
parameter,0,optimizer_kwargs.lr,0.001
parameter,0,optimizer_kwargs.betas,"(0.9, 0.999)"
parameter,0,optimizer_kwargs.eps,1e-08
parameter,0,optimizer_kwargs.weight_decay,0
parameter,0,optimizer_kwargs.amsgrad,False
parameter,0,optimizer_kwargs.maximize,False
parameter,0,optimizer_kwargs.foreach,
parameter,0,optimizer_kwargs.capturable,False
parameter,0,optimizer_kwargs.differentiable,False
parameter,0,optimizer_kwargs.fused,
parameter,0,optimizer_kwargs.decoupled_weight_decay,False
parameter,0,negative_sampler,BasicNegativeSampler
parameter,0,negative_sampler_kwargs.num_negs_per_pos,64
parameter,0,training_loop,SLCWATrainingLoop
parameter,0,training_loop_kwargs.negative_sampler,<class 'pykeen.sampling.basic_negative_sampler.BasicNegativeSampler'>
parameter,0,training_loop_kwargs.negative_sampler_kwargs.num_negs_per_pos,64
parameter,0,evaluator,RankBasedEvaluator
parameter,0,evaluator_kwargs.filtered,True
parameter,0,num_epochs,1000
parameter,0,batch_size,128
metric,1,loss,1.7693757258313993
metric,2,loss,1.1089558085249789
